A10	auto-estrada 10
AEPSA	Associação das Empresas Portuguesas para o Sector do Ambiente
AEPSA	Associação das s Portuguesas para o Sector do Ambiente
Aéreos	aéreos ao serviço do SNBPC
AERHSP	Arquivo Estatal da Rússia de História Sócio-Política
Aerlis	Associação Empresarial da Região de Lisboa
AERLIS	Associação Empresarial da Região de Lisboa
AERSET	Associação Empresarial da Região de Setúbal
AESA	Agência Europeia de Segurança Alimentar
AESA	a Segurança dos Alimentos
AESA	Autoridade Europeia para a Segurança Alimentar
AESA	Autoridade Europeia para Segurança Alimentar
Aesan	Agência Espanhola de Segurança Alimentar
AES	Associação de Empresas de Segurança
AES	Associação Esposende Solidário
AESBUC	a Escola Superior de Biotecnologia da Universidade Católica
AESI	Aliança Europeia para a Segurança Infantil
AESM	Agência Europeia de Segurança Marítima
AESM	Agência Europeia para a Segurança Marítima
AESP	Associação das Empresas de Segurança Privada
AESST	Agência Europeia para a Segurança e a Saúde no Trabalho
AEU	Associação Europeia das Universidades
AEUE	Associação de Estudantes da Universidade de Évora
AEUL	Associação de Estudantes da Universidade de Lisboa
AEVC	Associação Empresarial de Viana do Castelo
AEVM	Autoridade Europeia para o sector dos Valores Mobiliários
AEVMM	Autoridade Europeia dos Valores Mobiliários e dos Mercados
AEVP	Associação de Empresas de Vinho do Porto
AEVP	Associação de Empresas do Vinho do Porto
AEVP	Associação de Exportadores de Vinho do Porto
AEVP	Associação de s de Vinho do Porto
AEVP	Associação de s do Vinho do Porto
AFAAB	Associação de Familiares e Amigos dos Anorécticos e Bulimicos
Afaibo	Associação dos Filhos e Amigos da Ilha de Bolama
AF	Aliança Florestal
AFD	Agência Francesa para o Desenvolvimento
AFDCC	Associação Francesa dos Gestores de Crédito e Aconselhamento
AFDP	Associação de Feirantes do Distrito do Porto
Afem	Associação Fórum Empresarial da Economia do Mar
AFESP	Associação Portuguesa de Fabricantes e Empreiteiros de Sinalização
AFIA	Associação de Fabricantes Automóveis de Portugal
Afia	Associação de Fabricantes da Indústria Automóvel
AFIA	Associação de Fabricantes da Indústria Automóvel
AFIA	Associação de Fabricantes para a Indústria Automóvel
AFIA	Associação de Fabricantes para Indústria Automóvel
AFIA	Associação dos Fabricantes da Indústria Automóvel
Afi	Analistas Financeiros Internacionais
AFI	Analistas Financeiros Internacionais
AFJ	Associação dos Funcionários Judiciais
AFLOC	Associação Portuguesa de Produtores de Flocos de Cereais
Aflops	Associação de Produtores Florestais da Península de Setúbal
AFMRN	Associação Feiras e Mercados da Região Norte
AFN	Associação das Famílias Numerosas
AFN	Autoridade Florestal Nacional
AFPA	Association of Professional Flight Attendants
AFP	agência France Presse
AFP	agência noticiosa francesa France Presse
AFP	Alcoa Fujikura Portugal
AFP	Associação de Farmácias de Portugal
AFPLP	Associação de Farmacêuticos dos Países de Língua Portuguesa
Africom	africano das forças armadas norte-americanas
AFS	Associação de Futebol de Santarém
Afsca	Agência Federal para a Segurança da Cadeia Alimentar
AFSCA	Agência Federal para a Segurança da Cadeia Alimentar
AFSCA	Agência Federal para Segurança da Cadeia Alimentar
AFSSA	Agência Francesa de Segurança Sanitária dos Alimentos
Aftur	Alternative Fuels for Industrial Gas Turbines
AFVTE-R	Associação de Familiares das Vítimas da Tragédia de Entre-os-Rios
AFVTER	Associação de Familiares das Vítimas da Tragédia de Entre-os-Rios
AFVTE-R	Associação de Familiares das Vítimas de Entre-os-Rios
AFVTE-R	Associação dos Familiares das Vítimas da Tragédia de Entre-os-Rios
AFVTER	Associação dos Familiares das Vítimas da Tragédia de Entre-os-Rios
AGA	Assembleia Geral de Alunos
AG	a gestão da PT
AG	assembleia geral
AG	assembleia-geral
AG	Assembleia Geral
AG	assembleia geral de accionistas
AG	assembleia geral de acionistas
AG	assembleias gerais
AG	assembleias-gerais
AG	Assembleias Gerais
AG	Assembleias-Gerais
AGC	Automotora de Grande Capacidade
AGE	Assembleia Geral de Alunos
Agepor	Agentes de Navegação de Portugal
AGEPOR	Agentes de Navegação de Portugal
AGES	agência de segurança sanitária austríaca
AGETT	Associação de Grandes s de Trabalho Temporário
AGI	as Áreas de Gestão Integrada
AGIC	a Gestão do Inquérito-Crime
AGIIRE	a cargo do Gabinete de Intervenção Integrada para a Reestruturação Empresarial
AGIL	Agências de Gestão e Intervenção Local
agora	a água mostra-se
Agosto	ainda divulgado o dado de Setembro
Agris	Agricultura e Desenvolvimento Rural
AGRO	Agricultura e Desenvolvimento Rural
AGT	Administração Geral Tributária
AGT	Administração-Geral Tributária
Aguinenso	Associação Guineense de Solidariedade Social
AGUINENSO	Associação Guineense de Solidariedade Social
AGV	Automotora de Grande Velocidade
AHBVO	Associação Humanitária dos Bombeiros Voluntários de Oeiras
AHETA	Associação de Hotéis e Empreendimentos Turísticos algarvios
AHETA	Associação de Hotéis e Empreendimentos Turísticos do Algarve
AHETA	Associação de Hotéis e Estabelecimentos Turísticos do Algarve
AHETA	Associação de Hotelaria e Empreendimentos Turísticos do Algarve
AHETA	Associação dos Hotéis e Empreendimentos Turísticos do Algarve
AHETA	Associação Hoteleira de Empreendimentos Turísticos do Algarve
AHISA	Associação dos Industriais de Hotelaria e Similares do Algarve
AHP	Associação da Hospitalização Privada
AHP	Associação da Hotelaria de Portugal
AHP	Associação de Hotéis de Portugal
AHP	Associação de Hotelaria de Portugal
AHP	Associação dos Hotéis de Portugal
AHR	Administração Hidrográfica da Região
AHSA	Aproveitamento Hidroagrícola do Sotavento Algarvio
AHSA	Associação de Horticultores do Sudoeste Alentejano
AIA	ambientais
AIA	ambiental
AIA	Ambiental
AIA	Associação Industrial de Águeda
AIA	Autódromo Internacional do Algarve
AI	Amnistia Internacional
AIB	Afghanistan International Bank
AIB	Aliança Irlandesa de Bancos
AIB	Allied Irish Bank
AIB	Allied Irish Banks
AIB	a participação no banco polaco
AIB	Associação dos Industriais do Bacalhau
AIBT	Acção Integrada de Base Territorial
AIBT	Acções Integradas de Base Territorial
AIC	Associação de Industriais de Cristalaria
AIC	Associação dos Industriais de Cristalaria
AICC	Associação Industrial e Comercial do Café
AICCOP	Associação dos Industriais da Construção Civil e Obras Públicas
AICCOPN	Associação de Industriais de Construção Civil e Obras públicas do Norte
AICCOPN	Associação dos Industriais de Construção Civil e Obras Públicas do Norte
AICE	Advanced International Certificate of Education
AICE	Associação das Indústrias da Construção de Edifícios
AICE	Associação dos Industriais da Construção de Edifícios
AICE	Autoridade Internacional de Controlo de Estupefacientes
AICEP	Agência para o Comércio Externo de Portugal
Aicep	Agência para o Investimento e Comércio Externo de Portugal
AICEP	Agência para o Investimento e Comércio Externo de Portugal
AICEP	Agência Portuguesa para o Investimento e Comércio Externo de Portugal
AICEP	antigo ICEP
AICEP	apoiadas pela Agência para o e Externo de Portugal
AIDA	Associação Industrial do Distrito de Aveiro
AIDA	Associação Inter-Profissional para o Desenvolvimento da Alfarrobeira
Aidos	Associazione Italiana Donne per lo Sviluppo
AIDOS	Associazione Italiana Donne per lo Sviluppo
AIEA	Agência Internacional da Energia Atómica
AIEA	Agência Internacional de Energia atómica
AIEA	Agência Internacional de Energia Atómica
AIE	Agência Internacional da Energia
AIE	Agência Internacional das Epidemias
AIE	Agência Internacional de Energia
AIE	Aparelho Ideológico do Estado
AIED	Associação Internacional para o Estudo da Dor
AIEP	Associação da Imprensa Estrangeira em Portugal
AIFF	Associação Internacional dos Fabricantes Farmacêuticos
AIG	American Insurance Group
AIG	American Internacional Group
AIG	American International Group
AIG	American International Group Inc
AIGCEE	Associação das Indústrias Grandes Consumidoras de Energia Eléctrica
AIGCGN	Associação das Indústrias Grandes Consumidoras de Gás Natural
AIGFP	AIG Financial Products
AIHSA	Associação da Indústria Hoteleira e Similares do Algarve
AIHSA	Associação de Industriais de Hotelaria e Similares do Algarve
AIHSA	Associação dos Industriais de Hotelaria e Similares do Algarve
AIHSA	Associação dos Industriais Hoteleiros e Similares do Algarve
AIJA	Associação Internacional de Jovens Advogados
AIL	Associação de Inquilinos Lisbonenses
AIL	Associação dos Inquilinos Lisbonenses
AIMA	Associação dos Industriais de Montagem Automóvel
AIMA	Associação dos Industriais de Montagem de Automóveis
AIM	Aeroporto Internacional de Macau
AIM	Agência de Informação de Moçambique
AIM	Ano Internacional do Microcrédito
AIM	Associação Industrial do Minho
AIM	autorização de introdução no mercado
AIM	Autorização de Introdução no Mercado
AIM	autorizações de introdução no mercado
AIM	Autorizações de Introdução no Mercado
AIMC	Associação de Industriais de Madeiras do Centro
AI Minho	Associação Industrial do Minho
AIMinho	Associação Industrial do Minho
AIMMP	Associação das Indústrias da Madeira e Mobiliário de Portugal
AIMMP	Associação das Indústrias de Madeira e Mobiliário de Portugal
AIMMP	Associação das Indústrias de Madeiras e Mobiliário de Portugal
AIMMP	Associação dos Industriais de Madeira e Mobiliário de Portugal
AIMMP	Associação Industrial de Madeira e Mobiliário de Portugal
AIOB	Ano Internacional de Observação da Biodiversidade
AIPAM	Associação Industrial de Panificação da Madeira
Aipan	Associação dos Industriais de Panificação
AIPAN	Associação dos Industriais de Panificação e Similares do Norte
AIP	Associação da Indústria Portuguesa
AIP	Associação Industrial de Portugal
AIP	Associação industrial Portuguesa
AIP	Associação Industrial Portuguesa
AIP	Associação Industrial Portuguesas
AIP	Associação Internacional de Pediatria
AIP	associações industrial portuguesa
AIP	associações Industrial Portuguesa
AIP	Avenida dos Industriais Portuenses
AIPC	Associación de Industrias de Punto Y Confección
AIP-CE	Associação Industrial Portuguesa - Confederação Empresarial
AIP-CE	Associação Industrial Portuguesa – Confederação Empresarial
AIP-CE	Associação Industrial Portuguesa - Confederação rial
AIP-CE	Associação Industrial Portuguesa -- Confederação rial
AIPL	Associação dos Industriais de Panificação de Lisboa
AIPL	Associação Industrial de Panificação de Lisboa
AIS	Aids Society
AIS	Ajuda à Igreja que Sofre
AIS	automáticos
Aiscoma	Associação dos Industriais e Similares de Concessões da Orla Marítima
AI-SP	Amnistia Internacional - Secção Portuguesa
AITA	Associação Internacional de Transportes Aéreos
AITA	Associação Internacional do Transporte Aéreo
AIVI	Associação Internacional de Vítimas de Incesto
AJA	Associação de Jovens da Apelação
AJADP	Associação de Jovens Agricultores do Distrito do Porto
Ajadp	Associação dos Jovens Agricultores do Distrito do Porto
AJADP	Associação dos Jovens Agricultores do Distrito do Porto
AJAEL	Associação de Jovens Açorianos Estudantes em Lisboa
AJAP	Associação dos Jovens Agricultores de Portugal
AJC	Associação de Juízes pela Cidadania
AJEEC	Associação Juvenil de Estudos Europeus e Comunitários
AJP	Acção Jovem para a Paz
AJP	a Justiça e Paz
AJP	Associação dos Juízes Portugueses
AJPaz	a Justiça e Paz
AJPC	Associação de Juízes pela Cidadania
AJPC	Associação dos Juízes Pela Cidadania
AJPC	Associação Juízes pela Cidadania
AJPRA	Associação de Jovens Professores da Região Alentejo
Ajude	Associação Juvenil para o Desenvolvimento
ALA	Assembleia Legislativa dos Açores
ALADI	Associação Latino-Americana de Integração
Alandroal	Alentejo com os presidentes das seis câmaras municipais do regolfo de Alqueva
Alapa	Associação Lar Abrigo Porta Aberta
ALAV	Associação de Linhas Aéreas Venezuelanas
ALBA	Alternativa Bolivariana das Américas
ALBA	Alternativa Bolivariana para a América Latina
ALC	América Latina e Caraíbas
Alcanena	a classificação de "muito bom" nos cinco domínios: Agrupamento de Escolas de Minde
Alcanena	aproveitado todo o material de campanha para o concelho onde é candidato
ALCI	Antarctic Logistics Centre International
Alcoa	Alcobaça
Alcochete	Alcochete/Passil e Samouco
ALDA	Associação da Lavoura do Distrito de Aveiro
ALE	a Área de Localização Económica
Alfa	Associação Lusitana de Fitossociologia
ALFA	Associação Lusitana de Fitossociologia
Algarve	Algarvio - CHBA e Hospital de Faro
Ali	Assistência Domiciliária
Alico	American Life Insurance Company
Almada	adesão foi total nalguns municípios da Área Metropolitana de Lisboa
Almada	alargamento do Hospital Garcia da Orta
ALM	Assembleia Legislativa da Madeira
ALP	Associação Lisbonense de Proprietários
ALRAM	A emissão online do plenário da Assembleia Legislativa da Madeira
Alstom	Alsthom
Altec	Associação de Laserterapia e Tecnologias Afins
Altri	a "holding" industrial do grupo Cofina
Altri	assembleia-geral de accionistas agendada para 28 de Maio
Alves	Associação de Desenvolvimento da Viticultura Duriense
Alyo	Associação Lusa de Yoga
AMA	Administrativa
AMA	Agrupación Mutual Aseguradora
AMA	Amigos do Mondego e Afluentes
AMA	Assembleia Municipal de Alvito
AMA	Associação Mulheres em Acção
Amac	Associação de Municípios em Áreas de Centrais
Amadora	ao problemático Bairro da Cova da Moura
Amadora	a primeira fase do empreendimento entre Algés e Falagueira
AMAE	Associação de Municípios da Alta Estremadura
AMAGRA	Associação de Municípios Alentejanos para a Gestão Regional do Ambiente
Amal	A Comunidade Intermunicipal do Algarve
AMAL	a Junta Metropolitana do Algarve
AMAL	A Junta Metropolitana do Algarve
AMAL	ao presidente da Área Metropolitana do Algarve
Amal	Associação de Municipios do Algarve
Amal	Associação de Municípios do Algarve
AMAL	Associação de Municípios do Algarve
AMAL	Associação dos Municípios do Algarve
Amal	autarcas da Junta Metropolitana do Algarve
Amalga	Associação de Municípios Alentejanos para a Gestão do Ambiente
AMALGA	Associação de Municípios Alentejanos para a Gestão do Ambiente
AMALGA	Associação de Municípios Alentejanos para Gestão do Ambiente
AMALGA	Associação dos Municípios Alentejanos para a Gestão do Ambiente
AMAMB	Associação de Municípios do Alto Alentejo para o Ambiente
Amap	Armadores de Peniche
AMAP	Armadores de Peniche
AMAPN	Associação de Moradores e Comerciantes do Parque das Nações
AM	assembleia municipal
AM	Assembleia Municipal
AM	assembleias magnas
AM	assembleias municipais
Amave	Associação de Municípios do Vale do Ave
AMAVE	Associação de Municípios do Vale do Ave
AMBAAL	Associação de Municípios do Baixo Alentejo e Alentejo Litoral
AMBS	Associação de Moradores do Bom Sucesso
AMCAL	Associação de Municípios do Alentejo Central
AMC	Assembleia Municipal de Coimbra
AMCB	Associação de Municípios da Cova da Beira
AMCPN	Associação de Moradores e Comerciantes do Parque das Nações
AMCV	Associação das Mulheres Contra a Violência
AMCV	Associação de Mulheres contra a Violência
AMCV	Associação de Mulheres Contra a Violência
AMD	Advanced Micro Devices
AMDB	Associação de Municípios do Distrito de Beja
AMDE	Associação de Municípios do Distrito de Évora
AMDH	Academia Mexicana dos Direitos Humanos
AMDS	Associação de Municípios do Distrito de Setúbal
AME	Agência Municipal de Energia
AMEC	Associação Música Educação e Cultura
AMENA	Associação Medicina Natural e Bioterapêuticas
